date,headline,url
2020-01-27,Home Depot stock price target raised to $255 from $235 at Credit Suisse,
2020-02-11,"Home Depot to hire 80,000 workers for spring, the same as last year",https://www.marketwatch.com/story/home-depot-to-hire-80000-workers-for-spring-the-same-as-last-year-2020-02-11?mod=mw_quote_news_seemore
2020-02-11,"Home Depot to hire 80,000 employees for spring season, same as last year",
2020-02-14,Home Depot stock price target raised to $265 from $240 at Wells Fargo,
2020-02-23,"Home Depot, Salesforce, Macy’s, and Other Stocks for Investors to Watch This Week",https://www.marketwatch.com/articles/home-depot-salesforce-macys-and-other-stocks-for-investors-to-watch-this-week-51582488000?mod=mw_quote_news_seemore
2020-02-23,"Best Buy, Dell, Home Depot, Salesforce, Square and More Earnings Coming This Week",https://feedproxy.google.com/~r/247wallst_partners/~3/GajqFai5le4/?mod=mw_quote_news_seemore
2020-02-24,What to Expect When Home Depot Reports Tuesday,https://feedproxy.google.com/~r/247wallst_partners/~3/NcSuL81vf7k/?mod=mw_quote_news_seemore
2020-02-25,Home Depot’s Quarterly Profit Rises,https://www.wsj.com/articles/home-depots-quarterly-profit-rises-11582631034?mod=mw_quote_news_seemore
2020-02-25,Home Depot price target raised to $255 from $230 at CFRA,
2020-02-25,Home Depot’s Strong Foundation for Scary Times,https://www.wsj.com/articles/home-depots-strong-foundation-for-scary-times-11582652081?mod=mw_quote_news_seemore
2020-02-25,Home Depot Beats Profit and Sales Estimates on U.S. Housing Market Boost. The Stock is Nearing All-Time Highs,https://www.marketwatch.com/articles/home-depot-beats-profit-and-sales-estimates-on-u-s-housing-market-boost-the-stock-is-nearing-all-time-highs-51582637633?mod=mw_quote_news_seemore
2020-02-25,"Stocks to Watch: Home Depot, Macy’s, HP, Shake Shack, Dine Brands, Hertz",https://www.wsj.com/articles/stocks-to-watch-hp-shake-shack-dine-brands-hertz-11582623971?mod=mw_quote_news_seemore
2020-02-25,Home Depot tops fourth-quarter earnings view and hikes dividend by 10%,https://www.marketwatch.com/story/home-depot-tops-fourth-quarter-earnings-view-and-hikes-dividend-by-10-2020-02-25?mod=mw_quote_news_seemore
2020-02-25,Will Home Depot Earnings Help Stabilize the Dow?,https://feedproxy.google.com/~r/247wallst_partners/~3/y9__lfMHP5A/?mod=mw_quote_news_seemore
2020-02-26,Home Depot stock price target raised to $268 from $250 at UBS,
2020-02-26,Home Depot stock price target raised to $240 from $224 at Instinet,
2020-02-26,Home Depot stock price target raised to $240 from $225 at SunTrust RH,
2020-02-26,Home Depot stock price target raised to $270 from $245 at Stifel Nicolaus,
2020-02-26,Home Depot stock price target raised to $260 from $241 at J.P. Morgan,
